Title,Company,Location,Job Type,Job Link,Référence,Publiée le,Type de poste,Lieu de travail,Expérience,Étude,Disponibilité,Langues,Salary,Mobility
Technicien pesée et formulation,,Sousse,CDD,https://www.keejob.com/offres-emploi/211721/technicien-pes%C3%A9e-et-formulation/,211721,21 novembre 2024,CDD,"Kalaa El Kebira, Sousse, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",800 - 1200 DT / Mois,
Ingenieur en Electricite,,Ariana,CDI,https://www.keejob.com/offres-emploi/211702/ingenieur-en-electricite/,211702,21 novembre 2024,CDI,"Ariana Ville, Ariana, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,"Arabe , Français",1700 - 2000 DT / Mois,Locale
Responsable Maintenance,MSGI,Sfax,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211704/responsable-maintenance/,211704,21 novembre 2024,"CDD, ,, SIVP","Sakiet Ezzit, Sfax, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,"Français , Anglais",1 - 2 DT / Mois,
German Adviser,APPRENTUS,Tunis,CDI,https://www.keejob.com/offres-emploi/211718/german-adviser/,211718,21 novembre 2024,CDI,"El Menzah, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Anglais , Allemand",,
Réviseur(e) comptable,MEDIGEST CONSULTING,Tunis,CDI,https://www.keejob.com/offres-emploi/211657/r%C3%A9viseure-comptable/,211657,21 novembre 2024,CDI,"Bab Bhar, Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,Français,2000 - 2500 DT / Mois,
Comptable H/F,Manpower,Tunis,CDI,https://www.keejob.com/offres-emploi/211746/comptable-hf/,211746,21 novembre 2024,CDI,"Tunis, Tunisie",Moins d'un an,Bac + 3,Plein temps,Français,,
Magasinier,MSGI,Sfax,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211703/magasinier/,211703,21 novembre 2024,"CDD, ,, SIVP","Sakiet Ezzit, Sfax, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Français , Anglais",,
Téléconseiller (Langue Grecque),AFFINICIA LAB,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/210938/t%C3%A9l%C3%A9conseiller-langue-grecque/,210938,21 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Moins d'un an,Bac,Plein temps,,2000 - 2200 DT / Mois,"Locale, International"
Vendeur/ Caissier Bershka Tunisia Mall,TUNTEX,Ariana,Unspecified,https://www.keejob.com/offres-emploi/211708/vendeur-caissier-bershka-tunisia-mall/,211708,21 novembre 2024,,"Ariana, Tunisie",Aucune expérience,Bac,Plein temps,,700 - DT / Mois,
chargé de la communication et de site web,MBM TRADING CO,Ariana,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/210963/charg%C3%A9-de-la-communication-et-de-site-web/,210963,21 novembre 2024,"CDI, ,, CDD, ,, SIVP","Raoued, Ariana, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français",900 - 1200 DT / Mois,
charge stock,JARZIS DECOR,Tunis,CDD,https://www.keejob.com/offres-emploi/211747/gestion-de-stock/,211747,21 novembre 2024,CDD,"El Kabbaria, Tunis, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Arabe , Français , Anglais",600 - DT / Mois,Locale
Vendeur/ Caissier Stradivarius Tunisia Mall,TUNTEX,Ariana,Unspecified,https://www.keejob.com/offres-emploi/211709/vendeur-caissier-stradivarius-tunisia-mall/,211709,21 novembre 2024,,"Ariana, Tunisie",Aucune expérience,Bac,Plein temps,,700 - DT / Mois,
COMMERCIAL INTERNATIONAL,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211693/commercial-international/,211693,21 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français",3000 - 5000 DT / Mois,"Locale, International"
Mateur_Des Commerciaux Terrain (H/F),ADVANS TUNISIE MICROFINANCE,Bizerte,Unspecified,https://www.keejob.com/offres-emploi/210949/mateur_des-commerciaux-terrain-hf/,210949,21 novembre 2024,,"Mateur, Bizerte, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,,,
Ingénieur Commercial H/F,CLARKE ENERGY TUNISIE SERVICE,Tunis,CDI,https://www.keejob.com/offres-emploi/210975/ing%C3%A9nieur-commercial-hf/,210975,21 novembre 2024,CDI,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",4000 - 4500 DT / Mois,"Locale, International"
Assistante dentaire,Cabinet d'Orthodontie Docteur Mohamed Ali Kaaniche,Tunis,SIVP,https://www.keejob.com/offres-emploi/211706/assistante-dentaire-secr%C3%A9taire-m%C3%A9dicale/,211706,21 novembre 2024,SIVP,"El Kram, Tunis, Tunisie",Aucune expérience,Bac + 1,Plein temps,"Français , Anglais",600 - 700 DT / Mois,
gestionnaire export,MATRIX COMPETENCES,Tunis,CDI,https://www.keejob.com/offres-emploi/211729/gestionnaire-export/,211729,21 novembre 2024,CDI,"Bab Bhar, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1 - 2 DT / Mois,
Aide magasinier,SEMAR TUNISIA,Ben Arous,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211660/aide-magasinier/,211660,20 novembre 2024,"CDD, ,, SIVP","Fouchana, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,"Arabe , Français , Italien",700 - 800 DT / Mois,
Technicien Maintenance - BBM BM,CARTHAGO SANITAIRE,Zaghouan,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/210935/technicien-maintenance-bbm-bm/,210935,21 novembre 2024,"CDD, ,, SIVP","Bir Mcherga, Zaghouan, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français",800 - 1300 DT / Mois,Locale
Community Manager,SUPER SENSES,Sousse,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211681/poste-community-manager/,211681,20 novembre 2024,"CDI, ,, CDD, ,, SIVP","Sousse Ville, Sousse, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
Un Professeur en informatique H/F,Manpower,Ben Arous,"CDD, ,, Intérim",https://www.keejob.com/offres-emploi/211701/un-professeur-en-informatique-hf/,211701,21 novembre 2024,"CDD, ,, Intérim","Megrine, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français",700 - 800 DT / Mois,
Chef de Produit Cosmétique,ARGANIA DISTRIBUTION,Tunis,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211717/chef-de-produit-cosm%C3%A9tique/,211717,21 novembre 2024,"CDI, ,, CDD, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,"Français , Anglais",,
Développeur web,INFRAWAY,Tunis,CDI,https://www.keejob.com/offres-emploi/211750/d%C3%A9veloppeur-web-webmaster/,211750,21 novembre 2024,CDI,"Cite El Khadra, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,1500 - 2200 DT / Mois,
Chargé Méthode et calcul RFQ,HR HOUSE INTERNATIONAL,Nabeul,CDI,https://www.keejob.com/offres-emploi/211726/charg%C3%A9-m%C3%A9thode-et-calcul-rfq/,211726,21 novembre 2024,CDI,"Nabeul, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,"Français , Anglais",,
Télévendeurs expérimentés en ENERGIE et TELCO,OUTSOURCIA,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211713/t%C3%A9l%C3%A9vendeurs-exp%C3%A9riment%C3%A9s-en-energie-et-telco/,211713,21 novembre 2024,"CDI, ,, SIVP","La Soukra, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,Français,1200 - 1500 DT / Mois,
Graphique Designer et audio visuel,SUPER SENSES,Sousse,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211740/graphique-designer-et-audio-visuel/,211740,21 novembre 2024,"CDI, ,, CDD, ,, SIVP","Sousse Ville, Sousse, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
Production Manager,ASTRAGALE,Sousse,CDI,https://www.keejob.com/offres-emploi/211751/production-manager/,211751,21 novembre 2024,CDI,"Sousse Ville, Sousse, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,Anglais,2500 - 3500 DT / Mois,
Responsable Qualité,PMP,Bizerte,CDD,https://www.keejob.com/offres-emploi/211739/responsable-qualit%C3%A9/,211739,21 novembre 2024,CDD,"Utique, Bizerte, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,Français,,
Télévendeurs (Emission d'appel) Energie,,Ariana,Unspecified,https://www.keejob.com/offres-emploi/210939/t%C3%A9l%C3%A9vendeurs-emission-dappel-energie/,210939,21 novembre 2024,,"Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,Français,1000 - DT / Mois,
Chargé Commercial - BBM TAJEROUINE,CARTHAGO SANITAIRE,Le Kef,CDD,https://www.keejob.com/offres-emploi/210934/charg%C3%A9-commercial-bbm-tajerouine/,210934,21 novembre 2024,CDD,"Tajerouine, Le Kef, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1250 - 1500 DT / Mois,Locale
Dispatcheur,SEPT SUR SEPT DISPATCHING&LOGISTIC,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211663/dispatcheur/,211663,20 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,"Français , Anglais",1000 - 1500 DT / Mois,
TECHNICIEN SUPERIEUR GENIE CIVIL,,Zaghouan,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211636/charge-denvironement-et-des-travaux-civil/,211636,20 novembre 2024,"CDI, ,, CDD","Zaghouan, Zaghouan, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
Chargé(é) de recrutement,BEN YAGHLANE SHOPS,La Manouba,Unspecified,https://www.keejob.com/offres-emploi/210916/charg%C3%A9%C3%A9-de-recrutement/,210916,20 novembre 2024,,"Oued Ellil, La Manouba, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,,,
Responsable Marketing,GROUP BANI,Nabeul,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211666/responsable-marketing/,211666,20 novembre 2024,"CDI, ,, CDD","Korba, Nabeul, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 1500 DT / Mois,
Technicien production,LABORATOIRES ADWYA,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211645/technicien-production/,211645,20 novembre 2024,,"La Marsa, Tunis, Tunisie",Aucune expérience,Bac + 3,Plein temps,,,
Agent de Voyage,HI TRAVEL,Tunis,SIVP,https://www.keejob.com/offres-emploi/211685/agent-de-voyage/,211685,20 novembre 2024,SIVP,"Centre ville, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Arabe , Français , Anglais",700 - DT / Mois,
Responsable Marketing,CENTRALE DU CERAMIQUE,Ariana,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211643/responsable-marketing/,211643,20 novembre 2024,"CDI, ,, CDD, ,, SIVP","Sidi Thabet, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 4,Plein temps,"Arabe , Français",1200 - 1500 DT / Mois,
WEBMASTER,GROUP BANI,Nabeul,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211667/webmaster/,211667,20 novembre 2024,"CDI, ,, CDD","Korba, Nabeul, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 1500 DT / Mois,
Télévendeurs (Emission D'appel Telco),AFFINICIA LAB,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211640/t%C3%A9l%C3%A9vendeurs-emission-dappel-telco/,211640,20 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,Français,1000 - DT / Mois,
Ingénieur Géophysicien,,Tunis,CDI,https://www.keejob.com/offres-emploi/211646/ing%C3%A9nieur-g%C3%A9ophysicien/,211646,20 novembre 2024,CDI,"Cite El Khadra, Tunis, Tunisie",Aucune expérience,Bac + 5,Plein temps,"Arabe , Français , Anglais",2000 - 3000 DT / Mois,Locale
Technicien en métrologie,PHARMAGHREB,Ariana,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/210893/technicien-en-m%C3%A9trologie/,210893,20 novembre 2024,"CDI, ,, CDD, ,, SIVP","La Soukra, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",800 - 1150 DT / Mois,Locale
Expert SEO – Télétravail,,Tunis,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211672/expert-seo-t%C3%A9l%C3%A9travail/,211672,20 novembre 2024,"CDI, ,, CDD, ,, SIVP","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Français , Anglais",1500 - DT / Mois,
Chargé(e) Achat,BEN YAGHLANE SHOPS,La Manouba,Unspecified,https://www.keejob.com/offres-emploi/211635/charg%C3%A9e-achat/,211635,20 novembre 2024,,"Oued Ellil, La Manouba, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,,,
Conseiller Commercial en Assurance Auto,ECG ASSURANCES,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211647/conseiller-commercial-en-assurance-auto/,211647,20 novembre 2024,"CDI, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac + 1,Plein temps,Français,1000 - 2000 DT / Mois,
Télévendeurs (Emission et Réception D'appel),AFFINICIA LAB,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211639/t%C3%A9l%C3%A9vendeurs-emission-et-r%C3%A9ception-dappel/,211639,20 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,Français,1000 - DT / Mois,
Secrétaire médicale,CABINET DOCTEUR SOUHA YAHIA,Tunis,SIVP,https://www.keejob.com/offres-emploi/211664/secr%C3%A9taire-m%C3%A9dicale/,211664,20 novembre 2024,SIVP,"Cite El Khadra, Tunis, Tunisie",Aucune expérience,Formations professionnelles,Plein temps,"Arabe , Français",500 - 700 DT / Mois,
Ingénieur R&D,BEN YAGHLANE SHOPS,La Manouba,Unspecified,https://www.keejob.com/offres-emploi/211655/ing%C3%A9nieur-rd/,211655,20 novembre 2024,,"Oued Ellil, La Manouba, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,,,
Supply and Demand Coordinator,BULGIN TUNISIE,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211665/supply-and-demand-coordinator/,211665,20 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,"Français , Anglais",,
Vendeur/ Caissier Oysho Tunisia Mall,TUNTEX,Ariana,Unspecified,https://www.keejob.com/offres-emploi/211638/vendeur-caissier-oysho-tunisia-mall/,211638,20 novembre 2024,,"Ariana, Tunisie",Aucune expérience,Bac,Plein temps,,700 - DT / Mois,
Informaticien avec un Français parfait,CPL JOBS,Ariana,CDI,https://www.keejob.com/offres-emploi/210881/informaticien-avec-francais-parfais/,210881,20 novembre 2024,CDI,"Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,1000 - 1100 DT / Mois,
Responsable Qualité Système HSE PEC MED,PLASTIC ELECTROMECHANIC COMPANY PEC,Zaghouan,CDI,https://www.keejob.com/offres-emploi/210879/responsable-qualit%C3%A9-syst%C3%A8me-hse-pec-med/,210879,20 novembre 2024,CDI,"Hammam Zriba, Zaghouan, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Français , Anglais",,Locale
assistante administratif,,Ariana,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211670/assistante-administratif/,211670,20 novembre 2024,"CDD, ,, SIVP","Ariana, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français",,
Un Responsable de point de vente (Manager),FATALES,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211637/un-responsable-de-point-de-vente-manager/,211637,20 novembre 2024,"CDD, ,, SIVP","Centre ville, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 2,Plein temps,"Arabe , Français , Anglais",,Locale
Technicienne controle Qualite,SEMAR TUNISIA,Ben Arous,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211658/technicienne-controle-qualite/,211658,20 novembre 2024,"CDI, ,, SIVP","Fouchana, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais , Italien",700 - 1000 DT / Mois,
Nutritionniste,PARAPHARMACIE TUNIS,Ariana,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211689/nutritionniste/,211689,20 novembre 2024,"CDD, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français",500 - 1000 DT / Mois,
Media Buyer - Télétravail,,Tunis,"CDI, ,, CDD, ,, SIVP, ,, Indépendant/Freelance",https://www.keejob.com/offres-emploi/211671/media-buyer-t%C3%A9l%C3%A9travail/,211671,20 novembre 2024,"CDI, ,, CDD, ,, SIVP, ,, Indépendant/Freelance","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Français , Anglais",1300 - DT / Mois,
Chargés d'Affaires PME - Sousse,BANK ABC,Sousse,CDI,https://www.keejob.com/offres-emploi/206602/charg%C3%A9s-daffaires-pme-sousse/,206602,20 novembre 2024,CDI,"Sousse, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
Technicien en climatisation,GENIE FROID,Sfax,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211648/technicien-en-climatisation/,211648,20 novembre 2024,"CDD, ,, SIVP","Sfax Ville, Sfax, Tunisie",Moins d'un an,Formations professionnelles,Plein temps,,500 - 1000 DT / Mois,Locale
Assistante Commerciale et télévendeuse.,MIM TUNISIE,Ariana,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211669/assistante-commerciale-et-t%C3%A9l%C3%A9vendeuse/,211669,20 novembre 2024,"CDI, ,, CDD, ,, SIVP","Ariana Ville, Ariana, Tunisie",Aucune expérience,Bac + 2,Plein temps,Français,,Locale
Assistante Commerciale / Administrative,CENTRALE DU CERAMIQUE,Ariana,"CDI, ,, CDD, ,, SIVP, ,, Stage, ,, Saisonnier",https://www.keejob.com/offres-emploi/211642/assistante-commerciale-administrative/,211642,20 novembre 2024,"CDI, ,, CDD, ,, SIVP, ,, Stage, ,, Saisonnier","Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Arabe , Français",800 - 1000 DT / Mois,
INSTRUMENTISTE,AMEN SANTE,Tunis,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211649/instrumentiste/,211649,20 novembre 2024,"CDI, ,, CDD, ,, SIVP","La Marsa, Tunis, Tunisie",Aucune expérience,Bac + 3,Plein temps,"Arabe , Français",500 - 1300 DT / Mois,
Agent de Vente Directe en Contrat d’Intérim,BANK ABC,Tunis,Intérim,https://www.keejob.com/offres-emploi/207544/agent-de-vente-directe-en-contrat-dint%C3%A9rim/,207544,20 novembre 2024,Intérim,"Tunis, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Arabe , Français",,Locale
Soudeur semi automatique,,Ben Arous,CDI,https://www.keejob.com/offres-emploi/211676/soudeur-installateur-polyvalent/,211676,20 novembre 2024,CDI,"Megrine, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,"Arabe , Français",700 - 800 DT / Mois,Locale
Magasinier / Chef de Dépôt,ARTUS,Ben Arous,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/210885/magasinier-chef-de-d%C3%A9p%C3%B4t/,210885,20 novembre 2024,"CDI, ,, CDD","Fouchana, Ben Arous, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français",,
Un(e) Formateur(trice),CRIT,Tunis,CDD,https://www.keejob.com/offres-emploi/210898/une-tuteurtrice/,210898,20 novembre 2024,CDD,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Français , Anglais , Italien",,
Technicien Maintenance,SEMAR TUNISIA,Ben Arous,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211659/technicien-maintenance/,211659,20 novembre 2024,"CDD, ,, SIVP","Fouchana, Ben Arous, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Arabe , Français , Anglais",700 - 900 DT / Mois,
intégrateur(trice),ZEYN GROUPE,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211686/int%C3%A9grateurtrice/,211686,20 novembre 2024,"CDD, ,, SIVP","El Kram, Tunis, Tunisie",Aucune expérience,Formations professionnelles,Plein temps,"Arabe , Français , Anglais",600 - 800 DT / Mois,
comptable,VITIS COMPANY,Tunis,CDI,https://www.keejob.com/offres-emploi/211650/comptable/,211650,20 novembre 2024,CDI,"El Kram, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 4,Plein temps,"Arabe , Français",1000 - 1800 DT / Mois,Locale
Responsable Management Qualité,GENERALE CONSERVE ALIMENTAIRE,Kairouan,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211683/responsable-management-qualit%C3%A9/,211683,20 novembre 2024,"CDI, ,, CDD","Kairouan Sud, Kairouan, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 1500 DT / Mois,Locale
Assistante de Direction,MAKDA IMMOBILIÈRE,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211633/assistante-de-direction/,211633,20 novembre 2024,,"La Marsa, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 2,Plein temps,"Français , Anglais",800 - DT / Mois,
Technicien Maintenance,PURSUIT AEROSPACE,Ben Arous,CDI,https://www.keejob.com/offres-emploi/210923/technicien-maintenance/,210923,20 novembre 2024,CDI,"Megrine, Ben Arous, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1 - 2 DT / Mois,Locale
Assistant commercial,SR HOLDING,Tunis,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211651/assistant-commercial/,211651,20 novembre 2024,"CDI, ,, CDD, ,, SIVP","El Kram, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Français , Anglais",750 - 1500 DT / Mois,
Chargé(e) des offres (marchés publics),GLOBAL CUSTOMER SUPPORT GCS (GROUPE SGP),Ariana,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211684/charg%C3%A9e-des-offres-march%C3%A9s-publics/,211684,20 novembre 2024,"CDD, ,, SIVP","Ariana, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,Français,,
AUDITEUR INERNE,LABORATOIRES ADWYA,Ariana,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/210892/auditeur-inerne/,210892,20 novembre 2024,"CDI, ,, CDD","Ariana, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
Commercial,ACTIF INTERNATIONAL,Sousse,CDD,https://www.keejob.com/offres-emploi/211668/commercial/,211668,20 novembre 2024,CDD,"Akouda, Sousse, Tunisie",Moins d'un an,Bac + 3,Plein temps,Français,1 - 2 DT / Mois,Locale
Chargé digital,ALFOZ TUNISIE,Tunis,CDD,https://www.keejob.com/offres-emploi/211661/charg%C3%A9-digital/,211661,20 novembre 2024,CDD,"Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1200 - 1400 DT / Mois,
Technicien supérieur en Génie Electrique,,Bizerte,CDD,https://www.keejob.com/offres-emploi/211584/technicien-sup%C3%A9rieur-en-g%C3%A9nie-electrique/,211584,19 novembre 2024,CDD,"Bizerte Nord, Bizerte, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais , Italien",,
Coordinateur Transport,ULC LOGISTICS,Sfax,Unspecified,https://www.keejob.com/offres-emploi/211630/coordinateur-transport/,211630,19 novembre 2024,,"Sfax, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,,,
Conseiller Commercial,IMMOLIV,Ariana,Unspecified,https://www.keejob.com/offres-emploi/211517/conseiller-commercial/,211517,19 novembre 2024,,"Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",800 - DT / Mois,
Directeur technique,,Ben Arous,CDD,https://www.keejob.com/offres-emploi/210803/directeur-technique/,210803,19 novembre 2024,CDD,"Ben Arous, Tunisie",Plus que 10 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",1 - DT / Mois,Locale
Sales administration coordinator,,Tunis,CDI,https://www.keejob.com/offres-emploi/211688/sales-administration-coordinator/,211688,20 novembre 2024,CDI,"Essijoumi, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",1500 - 1700 DT / Mois,International
Chargé de comptabilité et finance,,Monastir,"CDI, ,, CDD, ,, SIVP, ,, Intérim",https://www.keejob.com/offres-emploi/211656/charg%C3%A9-de-comptabilit%C3%A9-et-finance/,211656,20 novembre 2024,"CDI, ,, CDD, ,, SIVP, ,, Intérim","Monastir, Monastir, Tunisie",Entre 2 et 5 ans,Bac + 2,Plein temps,"Arabe , Français",700 - 1000 DT / Mois,Locale
Comptable débutant,CLARKE ENERGY TUNISIE SERVICE,Tunis,SIVP,https://www.keejob.com/offres-emploi/211625/comptable-d%C3%A9butant/,211625,19 novembre 2024,SIVP,"Tunis, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Arabe , Français",700 - 750 DT / Mois,
Technicien Supérieur en contrôle qualité,BEN YAGHLANE SHOPS,La Manouba,Unspecified,https://www.keejob.com/offres-emploi/210915/technicien-sup%C3%A9rieur-en-contr%C3%B4le-qualit%C3%A9/,210915,20 novembre 2024,,"La Manouba, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,,,
Ouvriers coupe,ROYAL DESIGN,Sousse,CDD,https://www.keejob.com/offres-emploi/211682/royal-design/,211682,20 novembre 2024,CDD,"Enfidha, Sousse, Tunisie",Entre 5 et 10 ans,Formations professionnelles,Plein temps,"Arabe , Français",1000 - 1200 DT / Mois,Locale
AGENT DE RECOUVREMENT,,Tunis,CDD,https://www.keejob.com/offres-emploi/210862/agent-de-recouvrement/,210862,20 novembre 2024,CDD,"Tunis, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Arabe , Français",900 - 1100 DT / Mois,
Chef de Projet Assemblage,PLASTIC ELECTROMECHANIC COMPANY PEC,Zaghouan,CDI,https://www.keejob.com/offres-emploi/210872/chef-de-projet-assemblage/,210872,20 novembre 2024,CDI,"Hammam Zriba, Zaghouan, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Français , Anglais",,International
magasinier,MOVENPICK HÔTEL DU LAC TUNIS,Tunis,CDD,https://www.keejob.com/offres-emploi/211654/magasinier/,211654,20 novembre 2024,CDD,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,,1200 - 2000 DT / Mois,
