Title,Company,Location,Job Type,Job Link,Référence,Publiée le,Type de poste,Lieu de travail,Expérience,Étude,Disponibilité,Langues,Salary,Mobility
COORDINATRICE TECNOCASA,TECNOCASA GROUP,Mahdia,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/212111/coordinatrice-tecnocasa/,212111,29 novembre 2024,"CDI, ,, CDD, ,, SIVP","Mahdia, Tunisie",Aucune expérience,Bac + 2,Plein temps,"Arabe , Français",750 - DT / Mois,Locale
Tech Leader Next.js / Node.js,BINITNS,Tunis,Unspecified,https://www.keejob.com/offres-emploi/212096/tech-leader-nextjs-nodejs/,212096,29 novembre 2024,,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,Français,,
Responsable Formation & Intégration,ADVANCIA TELESERVICES,Tunis,CDI,https://www.keejob.com/offres-emploi/211073/responsable-formation-int%C3%A9gration/,211073,29 novembre 2024,CDI,"El Kram, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,Français,1 - 2 DT / Mois,
Responsable SMQ,,Sousse,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211731/responsable-qualit%C3%A9/,211731,29 novembre 2024,"CDI, ,, CDD","Enfidha, Sousse, Tunisie",Aucune expérience,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
Téléprospecteur B2B (1800dt net/mois),PARTNER RECRUITMENT,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211284/t%C3%A9l%C3%A9prospecteur-b2b-1800dt-netmois/,211284,29 novembre 2024,,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,Français,-1800 - 1800 DT / Mois,
Développeur Java Junior,BINITNS,Tunis,CDI,https://www.keejob.com/offres-emploi/211369/d%C3%A9veloppeur-java-junior/,211369,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,,,
Télévendeurs en Mutuelle Santé (Sousse),ECG ASSURANCES,Sousse,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211730/conseillers-commerciaux-en-mutuelle-sant%C3%A9/,211730,29 novembre 2024,"CDI, ,, SIVP","Sousse, Tunisie",Entre 1 et 2 ans,Bac + 1,Plein temps,Français,1000 - 1500 DT / Mois,
Responsable Méthodes UAP,ONETECH HOLDING,Bizerte,Unspecified,https://www.keejob.com/offres-emploi/211974/responsable-m%C3%A9thodes-uap/,211974,29 novembre 2024,,"Bizerte, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,Locale
Téléconseillers/Salaire Net de 1000 DT,ALMAVIVA,Ariana,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211860/t%C3%A9l%C3%A9conseillerssalaire-net-de-1000-dt/,211860,29 novembre 2024,"CDD, ,, SIVP","Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,,
Chief Financial Officer (Healthcare),PARTNER RECRUITMENT,Tunis,Unspecified,https://www.keejob.com/offres-emploi/210911/chief-financial-officer-cfo/,210911,29 novembre 2024,,"Tunis, Tunisie",Plus que 10 ans,Bac + 5,Plein temps,"Français , Anglais",7000 - 9000 DT / Mois,
Chef de poste de production,TUNISIE CABLES,Nabeul,CDI,https://www.keejob.com/offres-emploi/211442/chef-de-poste-de-production/,211442,29 novembre 2024,CDI,"Grombalia, Nabeul, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,"Français , Anglais",,
Vendeur/ Caissier Celio Mall of Sfax,TUNTEX,Sfax,Unspecified,https://www.keejob.com/offres-emploi/211953/vendeur-caissier-celio-mall-of-sfax/,211953,29 novembre 2024,,"Sfax, Tunisie",Aucune expérience,Bac,Plein temps,,700 - DT / Mois,
Directeur des Opérations,SPB ISC,Tunis,CDI,https://www.keejob.com/offres-emploi/211556/directeur-des-op%C3%A9rations/,211556,29 novembre 2024,CDI,"Cite El Khadra, Tunis, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,"Français , Anglais",1 - DT / Mois,
Responsable production (Chimie - Gabes),PARTNER RECRUITMENT,Gabes,Unspecified,https://www.keejob.com/offres-emploi/211282/responsable-production-chimie-gabes/,211282,29 novembre 2024,,"Gabes, Tunisie",Plus que 10 ans,Bac + 5,Plein temps,,,
Senior Java Developer,BINITNS,Tunis,Unspecified,https://www.keejob.com/offres-emploi/210597/senior-java-developer/,210597,29 novembre 2024,,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,Anglais,,
Un(e) chargée de Paie confirmé(e),,Ariana,CDI,https://www.keejob.com/offres-emploi/211350/une-charg%C3%A9e-de-paie-confirm%C3%A9e/,211350,29 novembre 2024,CDI,"Ariana Ville, Ariana, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,Français,1500 - 1800 DT / Mois,Locale
Chargé d’affaires Back-office (Secteur IT),PARTNER RECRUITMENT,Tunis,Unspecified,https://www.keejob.com/offres-emploi/212078/charg%C3%A9-daffaires-back-office-secteur-it/,212078,29 novembre 2024,,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,,,
Développeur Senior Full Stack Java/Vue JS,BINITNS,Tunis,CDI,https://www.keejob.com/offres-emploi/211373/d%C3%A9veloppeur-senior-full-stack-javavue-js/,211373,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,Français,,
"Chargé de Service Client, BO, Recouvrement",NATURABUY,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211399/charg%C3%A9-de-service-client-bo-recouvrement/,211399,29 novembre 2024,"CDI, ,, SIVP","Centre ville, Tunis, Tunisie",Entre 2 et 5 ans,Bac,Plein temps,Français,1400 - DT / Mois,
Vendeur/ Caissier Bershka Mall of Sousse,TUNTEX,Sousse,Unspecified,https://www.keejob.com/offres-emploi/212108/vendeur-caissier-bershka-mall-of-sousse/,212108,29 novembre 2024,,"Sousse, Tunisie",Aucune expérience,Bac,Plein temps,,700 - DT / Mois,
Responsable d'équipe Commerciale (Télévente),ETAI TUNISIE/INFOPRO DIGITAL,Ariana,CDI,https://www.keejob.com/offres-emploi/212120/responsable-d%C3%A9quipe-commerciale-t%C3%A9l%C3%A9vente/,212120,29 novembre 2024,CDI,"La Soukra, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Français , Anglais",,International
