Job Title,Company Name,Job Description,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link
"Directeur Groupe d’Écoles Supérieures - San-Pédro, Côte D´Ivoire",AFRICAWORK,,Bac+5 et plus,Expérience > 10 ans,CDI,International,Business Management - Éducation - Gestion - Gestion Administrative - Management - Stratégie,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/directeur-groupe-ecoles-superieures-san-pedro-cote-ivoire-207646
Femme de Ménage - Tunis Lac 1,TEG,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDD,Tunis,Entretien - Nettoyage,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/femme-menage-tunis-lac-1-207866
Collaborateur(trice) Autonome - Midoun,STE COLOR CONSEIL,,Bac+2,Débutant < 2 ans,CDI,Médenine,Comptabilité - Finance - Gestion,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/collaborateurtrice-autonome-midoun-207881
Gestionnaire de Contenu et Référencement Web - 100% Télétravail ,RANDOM WALKERS,,"Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD & Intérim",International,Communication - Content Management - Contenu Web - Design - Digital Communication - Marketing - Marketing Digital - Référencement Naturel - Référencement SEO - Référencement Web - SEO,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/gestionnaire-contenu-referencement-web-100-teletravail-207929
Conducteur d´Engins de Travaux Publics  - France,MANWORK,,Qualification avant bac & Bac,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI & CDD,International,Bâtiment et Travaux Publics,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/conducteur-engins-travaux-publics-france-207950
Dessinateur Senior AutoCAD - Kram,INCORPORATED GLOBAL ENGINEERING SERVICES,,"Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDD & Temps partiel,Tunis,AUTOCAD - BTP,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/dessinateur-senior-autocad-kram-207984
Caissière  - Tunis,SYNERGY FOOD,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Tunis,Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/caissiere-tunis-207999
Technicien Supérieur  - Nabeul,SOCIÉTÉ MAGHRÉBINE DES RÉSERVOIRS INOXYDABLE,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Nabeul,AUTOCAD - Fabrication - Génie Industriel - Génie Mécanique - Maintenance - Production - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-superieur-nabeul-208086
Technicien Sérigraphie - La Soukra Ariana,PERSOVET,,"Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Ariana - Ben Arous - Manouba & Tunis,Maintenance - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-serigraphie-soukra-ariana-208117
Assistante D´Accueil Avec des Connaissances en Web Design - la Goulette,NETGLASS,,"Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,Tunis,Assistanat - Charte Graphique - Communication - Création Graphique - Design - Emailing - Marketing - NET - Référencement Naturel - Secrétariat - SEO,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-accueil-avec-connaissances-web-design-goulette-208214
Conseiller(ère) Clientèle - Tunis,CALLING CALL,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI & Stage,Tunis,Communication - Marketing - Télécommunication,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/conseillerere-clientele-tunis-208226
